2022-05-03 17:30:37.032310 : <selenium.webdriver.remote.webelement.WebElement (session="57a582ac65115e4d0e420839da5cc4593d9bbca5", element="67b7b09b-c908-41f6-8526-ee80c04938d8")>
2022-05-03 17:31:06.935271 : nenasle se exponea banner
2022-05-03 17:31:08.130889 : gridy jdou videt
2022-05-03 17:31:08.442789 : gridy jdou videt
2022-05-03 17:31:08.742693 : gridy jdou videt
2022-05-03 17:31:09.019604 : gridy jdou videt
2022-05-03 17:31:09.291517 : gridy jdou videt
2022-05-03 17:31:09.587423 : gridy jdou videt
2022-05-03 17:31:09.871332 : gridy jdou videt
2022-05-03 17:31:10.216221 : gridy jdou videt
2022-05-03 17:31:10.489134 : gridy jdou videt
2022-05-03 17:31:10.792039 : gridy jdou videt
2022-05-03 17:31:11.205905 : gridy jdou videt
2022-05-03 17:31:11.476073 : gridy jdou videt
2022-05-03 17:31:11.739989 : gridy jdou videt
2022-05-03 17:31:12.020899 : gridy jdou videt
2022-05-03 17:31:12.319803 : gridy jdou videt
2022-05-03 17:31:12.614709 : gridy jdou videt
2022-05-03 17:31:12.912613 : gridy jdou videt
2022-05-03 17:31:13.233511 : gridy jdou videt
2022-05-03 17:31:13.484432 : gridy jdou videt
2022-05-03 17:31:13.780338 : gridy jdou videt
2022-05-03 17:31:14.072243 : gridy jdou videt
2022-05-03 17:31:14.403137 : gridy jdou videt
2022-05-03 17:31:14.819004 : gridy jdou videt
2022-05-03 17:31:15.114909 : gridy jdou videt
2022-05-03 17:31:15.414814 : gridy jdou videt
2022-05-03 17:31:16.697292 : gridy jdou videt
2022-05-03 17:31:17.056177 : gridy jdou videt
2022-05-03 17:31:17.384073 : gridy jdou videt
2022-05-03 17:31:17.702971 : gridy jdou videt
2022-05-03 17:31:18.103842 : gridy jdou videt
2022-05-03 17:31:18.404968 : gridy jdou videt
2022-05-03 17:31:18.690877 : gridy jdou videt
2022-05-03 17:31:19.015772 : gridy jdou videt
2022-05-03 17:31:19.320674 : gridy jdou videt
2022-05-03 17:31:19.617580 : gridy jdou videt
2022-05-03 17:31:19.938477 : gridy jdou videt
2022-05-03 17:31:20.247378 : gridy jdou videt
2022-05-03 17:31:20.555261 : gridy jdou videt
2022-05-03 17:31:20.891155 : gridy jdou videt
2022-05-03 17:31:21.207150 : gridy jdou videt
2022-05-03 17:31:21.550031 : gridy jdou videt
2022-05-03 17:31:22.015881 : gridy jdou videt
2022-05-03 17:31:23.346521 : gridy jdou videt
2022-05-03 17:31:23.636429 : gridy jdou videt
2022-05-03 17:31:23.922337 : gridy jdou videt
2022-05-03 17:31:24.250232 : gridy jdou videt
2022-05-03 17:31:24.553136 : gridy jdou videt
2022-05-03 17:31:24.843043 : gridy jdou videt
2022-05-03 17:31:25.155942 : gridy jdou videt
2022-05-03 17:31:25.435853 : gridy jdou videt
2022-05-03 17:31:25.823015 : gridy jdou videt
2022-05-03 17:31:27.108873 : content jdou videt
2022-05-03 17:31:27.413775 : content jdou videt
2022-05-03 17:31:27.719678 : content jdou videt
2022-05-03 17:31:28.110553 : content jdou videt
2022-05-03 17:31:28.526420 : content jdou videt
2022-05-03 17:31:29.193207 : content jdou videt
2022-05-03 17:31:29.752400 : content jdou videt
2022-05-03 17:31:30.302224 : content jdou videt
2022-05-03 17:31:30.901033 : content jdou videt
2022-05-03 17:31:31.667876 : content jdou videt
2022-05-03 17:31:32.147722 : content jdou videt
2022-05-03 17:31:32.469620 : content jdou videt
2022-05-03 17:31:32.868492 : content jdou videt
2022-05-03 17:31:33.365333 : content jdou videt
2022-05-03 17:31:33.797195 : content jdou videt
