2022-05-04 15:55:32.501397 : <selenium.webdriver.remote.webelement.WebElement (session="e88cf1870fb49874d904fd297ea3771234e0fe7b", element="0.42880602457630035-1")>
2022-05-04 15:56:03.007574 : nenasle se exponea banner
2022-05-04 15:56:04.344147 : gridy jdou videt
2022-05-04 15:56:04.655048 : gridy jdou videt
2022-05-04 15:56:04.890971 : gridy jdou videt
2022-05-04 15:56:05.221866 : gridy jdou videt
2022-05-04 15:56:05.586749 : gridy jdou videt
2022-05-04 15:56:06.349506 : gridy jdou videt
2022-05-04 15:56:07.206637 : gridy jdou videt
2022-05-04 15:56:07.698081 : gridy jdou videt
2022-05-04 15:56:08.113134 : gridy jdou videt
