2022-05-02 23:08:44.599700 : <selenium.webdriver.remote.webelement.WebElement (session="d2f5f0031eddd04aa2ef09eebee179d6b68375a6", element="node-818DBCC9-ACE5-4F42-98E6-393F699F1277")>
2022-05-02 23:09:14.471392 : nenasle se exponea banner
2022-05-02 23:09:17.766712 : gridy jdou videt
2022-05-02 23:09:18.615441 : gridy jdou videt
2022-05-02 23:09:19.384195 : gridy jdou videt
2022-05-02 23:09:20.383429 : gridy jdou videt
2022-05-02 23:09:20.846282 : gridy jdou videt
2022-05-02 23:09:21.450088 : gridy jdou videt
2022-05-02 23:09:22.423174 : gridy jdou videt
2022-05-02 23:09:23.210520 : gridy jdou videt
2022-05-02 23:09:23.976275 : gridy jdou videt
2022-05-02 23:09:24.853180 : gridy jdou videt
2022-05-02 23:09:25.831524 : gridy jdou videt
2022-05-02 23:09:26.409339 : gridy jdou videt
2022-05-02 23:09:27.046136 : gridy jdou videt
2022-05-02 23:09:27.585592 : gridy jdou videt
2022-05-02 23:09:28.138416 : gridy jdou videt
2022-05-02 23:09:28.867183 : gridy jdou videt
2022-05-02 23:09:29.791550 : gridy jdou videt
2022-05-02 23:09:30.983169 : gridy jdou videt
2022-05-02 23:09:31.454654 : gridy jdou videt
2022-05-02 23:09:31.912508 : gridy jdou videt
2022-05-02 23:09:32.256398 : gridy jdou videt
2022-05-02 23:09:32.711252 : gridy jdou videt
2022-05-02 23:09:33.228301 : gridy jdou videt
2022-05-02 23:09:33.897087 : gridy jdou videt
2022-05-02 23:09:34.555588 : gridy jdou videt
2022-05-02 23:09:35.182396 : gridy jdou videt
2022-05-02 23:09:36.186800 : gridy jdou videt
2022-05-02 23:09:37.612345 : gridy jdou videt
2022-05-02 23:09:38.900655 : gridy jdou videt
2022-05-02 23:09:39.519457 : gridy jdou videt
2022-05-02 23:09:40.211236 : gridy jdou videt
2022-05-02 23:09:40.979618 : gridy jdou videt
2022-05-02 23:09:41.549436 : gridy jdou videt
2022-05-02 23:09:42.063271 : gridy jdou videt
2022-05-02 23:09:42.992750 : gridy jdou videt
2022-05-02 23:09:43.452603 : gridy jdou videt
2022-05-02 23:09:45.693618 : content jdou videt
2022-05-02 23:09:46.154471 : content jdou videt
2022-05-02 23:09:47.075176 : content jdou videt
2022-05-02 23:09:48.103428 : content jdou videt
2022-05-02 23:09:48.934163 : content jdou videt
2022-05-02 23:09:49.813669 : content jdou videt
2022-05-02 23:09:50.295732 : content jdou videt
2022-05-02 23:09:50.887667 : content jdou videt
2022-05-02 23:09:51.382510 : content jdou videt
2022-05-02 23:09:51.665418 : content jdou videt
2022-05-02 23:09:52.063346 : content jdou videt
2022-05-02 23:09:52.732481 : content jdou videt
2022-05-02 23:09:53.086369 : content jdou videt
2022-05-02 23:09:53.473603 : content jdou videt
2022-05-02 23:09:53.978580 : content jdou videt
2022-05-02 23:09:54.806463 : content jdou videt
2022-05-02 23:09:55.459247 : content jdou videt
2022-05-02 23:09:56.078129 : content jdou videt
2022-05-02 23:09:56.523208 : content jdou videt
2022-05-02 23:09:56.960244 : content jdou videt
2022-05-02 23:09:57.457376 : content jdou videt
2022-05-02 23:09:58.615026 : content jdou videt
2022-05-02 23:09:59.446895 : content jdou videt
2022-05-02 23:10:00.285562 : content jdou videt
2022-05-02 23:10:00.994334 : content jdou videt
2022-05-02 23:10:01.488102 : content jdou videt
2022-05-02 23:10:02.089908 : content jdou videt
2022-05-02 23:10:02.638734 : content jdou videt
2022-05-02 23:10:03.177561 : content jdou videt
2022-05-02 23:10:03.752378 : content jdou videt
2022-05-02 23:10:04.322718 : content jdou videt
2022-05-02 23:10:05.188442 : content jdou videt
2022-05-02 23:10:05.778253 : content jdou videt
2022-05-02 23:10:06.507299 : content jdou videt
2022-05-02 23:10:07.067120 : content jdou videt
2022-05-02 23:10:07.654665 : content jdou videt
2022-05-02 23:10:39.685137 : <selenium.webdriver.remote.webelement.WebElement (session="8373314ded21967cd1bfd54046059490dafee0ba", element="node-FE971461-7FC4-4260-B955-64074582B9E0")>
2022-05-02 23:10:42.064574 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="8373314ded21967cd1bfd54046059490dafee0ba", element="node-7067C834-DEDD-4089-92BC-3636F4EEF1D7")>>
2022-05-02 23:11:19.128754 : <selenium.webdriver.remote.webelement.WebElement (session="021092802faf5ad34c47c0b6f783a5813b25d66c", element="node-DDF0319D-D483-4BAB-9D75-2A3B7A07D9F0")>
2022-05-02 23:11:48.853937 : nenasle se exponea banner
2022-05-02 23:11:57.916804 : its ok
