2022-05-03 16:17:52.037376 : <selenium.webdriver.remote.webelement.WebElement (session="e66bc49161518c69192fe868990be26af070a8f2", element="847e57b5-dbf0-4582-be8b-2ffebba74919")>
2022-05-03 16:18:21.312865 : nenasle se exponea banner
2022-05-03 16:18:22.690270 : gridy jdou videt
2022-05-03 16:18:23.044159 : gridy jdou videt
2022-05-03 16:18:23.389023 : gridy jdou videt
2022-05-03 16:18:23.726269 : gridy jdou videt
2022-05-03 16:18:24.105930 : gridy jdou videt
2022-05-03 16:18:24.403835 : gridy jdou videt
2022-05-03 16:18:24.804708 : gridy jdou videt
2022-05-03 16:18:25.213578 : gridy jdou videt
2022-05-03 16:18:25.656064 : gridy jdou videt
2022-05-03 16:18:26.112918 : gridy jdou videt
2022-05-03 16:18:27.592445 : gridy jdou videt
2022-05-03 16:18:27.980074 : gridy jdou videt
2022-05-03 16:18:28.309700 : gridy jdou videt
2022-05-03 16:18:28.651585 : gridy jdou videt
2022-05-03 16:18:29.023973 : gridy jdou videt
2022-05-03 16:18:29.519815 : gridy jdou videt
2022-05-03 16:18:29.895694 : gridy jdou videt
2022-05-03 16:18:30.286571 : gridy jdou videt
2022-05-03 16:18:30.685517 : gridy jdou videt
2022-05-03 16:18:31.187431 : gridy jdou videt
2022-05-03 16:18:31.584909 : gridy jdou videt
2022-05-03 16:18:31.946793 : gridy jdou videt
2022-05-03 16:18:32.355663 : gridy jdou videt
2022-05-03 16:18:32.826335 : gridy jdou videt
2022-05-03 16:18:33.228075 : gridy jdou videt
2022-05-03 16:18:33.600330 : gridy jdou videt
2022-05-03 16:18:33.955632 : gridy jdou videt
2022-05-03 16:18:34.355507 : gridy jdou videt
2022-05-03 16:18:34.759309 : gridy jdou videt
2022-05-03 16:18:35.108385 : gridy jdou videt
2022-05-03 16:18:35.516255 : gridy jdou videt
2022-05-03 16:18:35.869142 : gridy jdou videt
2022-05-03 16:18:36.259311 : gridy jdou videt
2022-05-03 16:18:36.626598 : gridy jdou videt
2022-05-03 16:18:36.920559 : gridy jdou videt
2022-05-03 16:18:37.207466 : gridy jdou videt
2022-05-03 16:18:38.367751 : content jdou videt
2022-05-03 16:18:38.669655 : content jdou videt
2022-05-03 16:18:40.116376 : content jdou videt
2022-05-03 16:18:40.496667 : content jdou videt
2022-05-03 16:18:40.874547 : content jdou videt
2022-05-03 16:18:41.150535 : content jdou videt
2022-05-03 16:18:41.493428 : content jdou videt
2022-05-03 16:18:41.831611 : content jdou videt
2022-05-03 16:18:42.231483 : content jdou videt
2022-05-03 16:18:42.538489 : content jdou videt
2022-05-03 16:18:42.817428 : content jdou videt
2022-05-03 16:18:43.156320 : content jdou videt
2022-05-03 16:18:43.456349 : content jdou videt
2022-05-03 16:18:43.874216 : content jdou videt
2022-05-03 16:18:44.200465 : content jdou videt
2022-05-03 16:18:44.557355 : content jdou videt
2022-05-03 16:18:44.990307 : content jdou videt
2022-05-03 16:18:45.257118 : content jdou videt
2022-05-03 16:18:45.514924 : content jdou videt
2022-05-03 16:18:45.797833 : content jdou videt
2022-05-03 16:18:46.073052 : content jdou videt
2022-05-03 16:18:46.453781 : content jdou videt
2022-05-03 16:18:46.759542 : content jdou videt
2022-05-03 16:18:47.081438 : content jdou videt
2022-05-03 16:18:47.428327 : content jdou videt
2022-05-03 16:18:47.697242 : content jdou videt
2022-05-03 16:18:48.011141 : content jdou videt
2022-05-03 16:18:48.339036 : content jdou videt
2022-05-03 16:18:48.801888 : content jdou videt
2022-05-03 16:18:49.215756 : content jdou videt
2022-05-03 16:18:49.623493 : content jdou videt
2022-05-03 16:18:49.935221 : content jdou videt
2022-05-03 16:18:50.257119 : content jdou videt
2022-05-03 16:18:50.577017 : content jdou videt
2022-05-03 16:18:50.867923 : content jdou videt
2022-05-03 16:18:51.169826 : content jdou videt
2022-05-03 16:19:44.501480 : <selenium.webdriver.remote.webelement.WebElement (session="2a6c6950bc4756d93a0bc87356899293fd5e1040", element="839989b2-4279-4f82-b858-7fdb4cc5bd0a")>
2022-05-03 16:19:46.726808 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="2a6c6950bc4756d93a0bc87356899293fd5e1040", element="6ccdb070-065f-4a3c-9a2b-da7a439dffc2")>>
2022-05-03 16:20:29.609075 : None
2022-05-03 16:20:29.609075 : consent pass
2022-05-03 16:20:57.904094 : nenasle se exponea banner
2022-05-03 16:20:59.969942 : its ok
2022-05-03 16:21:44.629390 : None
2022-05-03 16:21:44.629390 : consent pass
