2022-05-02 22:21:50.639967 : <selenium.webdriver.remote.webelement.WebElement (session="f6779a5f770de020cc303c3f4e58257373bf5990", element="node-D2A3E5E0-9C9E-4567-9477-67D518D5772A")>
2022-05-02 22:22:20.190225 : nenasle se exponea banner
2022-05-02 22:22:22.928032 : gridy jdou videt
2022-05-02 22:22:23.361893 : gridy jdou videt
2022-05-02 22:22:23.700450 : gridy jdou videt
2022-05-02 22:22:23.984359 : gridy jdou videt
2022-05-02 22:22:24.298480 : gridy jdou videt
2022-05-02 22:22:24.770259 : gridy jdou videt
2022-05-02 22:22:25.151429 : gridy jdou videt
2022-05-02 22:22:26.111122 : gridy jdou videt
2022-05-02 22:22:27.126620 : gridy jdou videt
2022-05-02 22:22:27.676189 : gridy jdou videt
2022-05-02 22:22:27.973093 : gridy jdou videt
2022-05-02 22:22:28.793098 : gridy jdou videt
2022-05-02 22:22:29.130625 : gridy jdou videt
2022-05-02 22:22:29.443104 : gridy jdou videt
2022-05-02 22:22:29.766009 : gridy jdou videt
2022-05-02 22:22:30.097468 : gridy jdou videt
2022-05-02 22:22:30.452209 : gridy jdou videt
2022-05-02 22:22:31.027474 : gridy jdou videt
2022-05-02 22:22:32.158914 : gridy jdou videt
2022-05-02 22:22:32.791457 : gridy jdou videt
2022-05-02 22:22:33.359275 : gridy jdou videt
2022-05-02 22:22:34.027063 : gridy jdou videt
2022-05-02 22:22:34.360999 : gridy jdou videt
2022-05-02 22:22:34.731881 : gridy jdou videt
2022-05-02 22:22:35.085276 : gridy jdou videt
2022-05-02 22:22:35.452159 : gridy jdou videt
2022-05-02 22:22:35.757062 : gridy jdou videt
2022-05-02 22:22:36.092675 : gridy jdou videt
2022-05-02 22:22:37.425250 : gridy jdou videt
2022-05-02 22:22:37.812837 : gridy jdou videt
2022-05-02 22:22:38.287729 : gridy jdou videt
2022-05-02 22:22:38.936867 : gridy jdou videt
2022-05-02 22:22:39.501686 : gridy jdou videt
2022-05-02 22:22:40.045512 : gridy jdou videt
2022-05-02 22:22:40.455381 : gridy jdou videt
2022-05-02 22:22:40.778278 : gridy jdou videt
2022-05-02 22:22:41.129189 : gridy jdou videt
2022-05-02 22:22:41.521261 : gridy jdou videt
2022-05-02 22:22:41.989218 : gridy jdou videt
