2022-05-03 16:56:33.483459 : <selenium.webdriver.remote.webelement.WebElement (session="3ea689d2310fb30f94b1db672b51afa8e34d0c5d", element="2fd3185e-3370-4cf0-b903-c03f4f61b8a7")>
2022-05-03 16:57:03.128359 : nenasle se exponea banner
2022-05-03 16:57:04.027465 : gridy jdou videt
2022-05-03 16:57:04.294668 : gridy jdou videt
2022-05-03 16:57:04.614560 : gridy jdou videt
2022-05-03 16:57:04.937401 : gridy jdou videt
2022-05-03 16:57:05.241433 : gridy jdou videt
2022-05-03 16:57:05.494353 : gridy jdou videt
2022-05-03 16:57:05.825247 : gridy jdou videt
2022-05-03 16:57:06.187132 : gridy jdou videt
2022-05-03 16:57:06.525024 : gridy jdou videt
2022-05-03 16:57:06.816931 : gridy jdou videt
2022-05-03 16:57:07.135575 : gridy jdou videt
2022-05-03 16:57:07.466533 : gridy jdou videt
2022-05-03 16:57:07.790555 : gridy jdou videt
2022-05-03 16:57:08.116433 : gridy jdou videt
2022-05-03 16:57:08.483692 : gridy jdou videt
2022-05-03 16:57:08.820154 : gridy jdou videt
2022-05-03 16:57:09.311149 : gridy jdou videt
2022-05-03 16:57:09.688029 : gridy jdou videt
2022-05-03 16:57:10.029919 : gridy jdou videt
2022-05-03 16:57:10.353815 : gridy jdou videt
2022-05-03 16:57:10.719468 : gridy jdou videt
2022-05-03 16:57:11.072009 : gridy jdou videt
2022-05-03 16:57:11.498631 : gridy jdou videt
2022-05-03 16:57:11.819546 : gridy jdou videt
2022-05-03 16:57:12.182412 : gridy jdou videt
2022-05-03 16:57:12.489314 : gridy jdou videt
2022-05-03 16:57:12.785220 : gridy jdou videt
2022-05-03 16:57:13.141107 : gridy jdou videt
2022-05-03 16:57:13.445168 : gridy jdou videt
2022-05-03 16:57:13.713614 : gridy jdou videt
2022-05-03 16:57:13.995531 : gridy jdou videt
2022-05-03 16:57:14.275442 : gridy jdou videt
2022-05-03 16:57:14.617332 : gridy jdou videt
2022-05-03 16:57:14.881183 : gridy jdou videt
2022-05-03 16:57:15.279813 : gridy jdou videt
2022-05-03 16:57:15.549692 : gridy jdou videt
2022-05-03 16:57:15.817879 : gridy jdou videt
2022-05-03 16:57:16.112570 : gridy jdou videt
2022-05-03 16:57:16.444465 : gridy jdou videt
2022-05-03 16:57:16.706381 : gridy jdou videt
2022-05-03 16:57:16.997288 : gridy jdou videt
2022-05-03 16:57:17.274639 : gridy jdou videt
2022-05-03 16:57:17.549868 : gridy jdou videt
2022-05-03 16:57:17.897757 : gridy jdou videt
2022-05-03 16:57:18.178668 : gridy jdou videt
2022-05-03 16:57:18.422590 : gridy jdou videt
2022-05-03 16:57:18.737490 : gridy jdou videt
2022-05-03 16:57:18.997406 : gridy jdou videt
2022-05-03 16:57:19.277316 : gridy jdou videt
2022-05-03 16:57:19.547231 : gridy jdou videt
2022-05-03 16:57:19.823142 : gridy jdou videt
2022-05-03 16:57:20.802152 : content jdou videt
2022-05-03 16:57:21.105721 : content jdou videt
2022-05-03 16:57:21.392295 : content jdou videt
2022-05-03 16:57:21.658684 : content jdou videt
2022-05-03 16:57:21.951457 : content jdou videt
2022-05-03 16:57:22.241784 : content jdou videt
2022-05-03 16:57:22.616428 : content jdou videt
2022-05-03 16:57:22.903838 : content jdou videt
2022-05-03 16:57:23.173430 : content jdou videt
2022-05-03 16:57:23.494327 : content jdou videt
2022-05-03 16:57:23.764241 : content jdou videt
2022-05-03 16:57:24.202101 : content jdou videt
2022-05-03 16:57:24.552989 : content jdou videt
2022-05-03 16:57:24.835898 : content jdou videt
2022-05-03 16:57:25.070823 : content jdou videt
2022-05-03 16:57:25.356734 : content jdou videt
2022-05-03 16:57:25.639460 : content jdou videt
2022-05-03 16:57:25.926745 : content jdou videt
2022-05-03 16:57:26.190661 : content jdou videt
2022-05-03 16:57:26.470572 : content jdou videt
2022-05-03 16:57:26.771475 : content jdou videt
2022-05-03 16:57:27.031393 : content jdou videt
2022-05-03 16:57:27.287310 : content jdou videt
2022-05-03 16:57:27.549227 : content jdou videt
2022-05-03 16:57:27.887119 : content jdou videt
2022-05-03 16:57:28.140038 : content jdou videt
2022-05-03 16:57:28.411958 : content jdou videt
2022-05-03 16:57:28.702858 : content jdou videt
2022-05-03 16:57:29.027754 : content jdou videt
2022-05-03 16:57:29.365647 : content jdou videt
2022-05-03 16:57:29.606569 : content jdou videt
2022-05-03 16:57:29.868486 : content jdou videt
2022-05-03 16:57:30.141399 : content jdou videt
2022-05-03 16:57:30.408314 : content jdou videt
2022-05-03 16:57:30.706528 : content jdou videt
2022-05-03 16:57:30.992437 : content jdou videt
2022-05-03 16:57:31.363319 : content jdou videt
2022-05-03 16:57:31.638231 : content jdou videt
2022-05-03 16:57:31.949132 : content jdou videt
2022-05-03 16:57:32.240038 : content jdou videt
2022-05-03 16:57:32.490959 : content jdou videt
2022-05-03 16:57:32.796861 : content jdou videt
2022-05-03 16:57:33.456650 : content jdou videt
2022-05-03 16:57:33.687576 : content jdou videt
2022-05-03 16:57:33.950492 : content jdou videt
2022-05-03 16:57:34.542303 : content jdou videt
2022-05-03 16:57:34.836209 : content jdou videt
2022-05-03 16:57:35.127116 : content jdou videt
2022-05-03 16:57:35.386033 : content jdou videt
2022-05-03 16:57:35.758914 : content jdou videt
2022-05-03 16:57:36.110801 : content jdou videt
