2022-05-03 17:38:17.297806 : <selenium.webdriver.remote.webelement.WebElement (session="a7bfd6cc33555aef54d596078ca418c24de4b7e6", element="d2283e6a-e0c1-4196-95a6-39357822b480")>
2022-05-03 17:38:46.871348 : nenasle se exponea banner
2022-05-03 17:38:48.563807 : gridy jdou videt
2022-05-03 17:38:49.180610 : gridy jdou videt
2022-05-03 17:38:50.005348 : gridy jdou videt
2022-05-03 17:38:50.736113 : gridy jdou videt
2022-05-03 17:38:51.460881 : gridy jdou videt
2022-05-03 17:38:51.977716 : gridy jdou videt
2022-05-03 17:38:52.562529 : gridy jdou videt
2022-05-03 17:38:52.978396 : gridy jdou videt
2022-05-03 17:38:53.611193 : gridy jdou videt
2022-05-03 17:38:54.064050 : gridy jdou videt
2022-05-03 17:38:54.445927 : gridy jdou videt
2022-05-03 17:38:54.844801 : gridy jdou videt
2022-05-03 17:38:55.231676 : gridy jdou videt
2022-05-03 17:38:55.571566 : gridy jdou videt
2022-05-03 17:38:55.888465 : gridy jdou videt
2022-05-03 17:38:56.247351 : gridy jdou videt
2022-05-03 17:38:56.617232 : gridy jdou videt
2022-05-03 17:38:57.053094 : gridy jdou videt
2022-05-03 17:38:57.442969 : gridy jdou videt
2022-05-03 17:38:57.835842 : gridy jdou videt
2022-05-03 17:38:58.251710 : gridy jdou videt
2022-05-03 17:38:58.609595 : gridy jdou videt
2022-05-03 17:38:58.954485 : gridy jdou videt
2022-05-03 17:38:59.385348 : gridy jdou videt
2022-05-03 17:38:59.783223 : gridy jdou videt
2022-05-03 17:39:00.068130 : gridy jdou videt
2022-05-03 17:39:00.383029 : gridy jdou videt
2022-05-03 17:39:00.698928 : gridy jdou videt
2022-05-03 17:39:02.009508 : gridy jdou videt
2022-05-03 17:39:02.348400 : gridy jdou videt
2022-05-03 17:39:02.653303 : gridy jdou videt
2022-05-03 17:39:03.087163 : gridy jdou videt
2022-05-03 17:39:03.442050 : gridy jdou videt
2022-05-03 17:39:03.745953 : gridy jdou videt
2022-05-03 17:39:04.039860 : gridy jdou videt
2022-05-03 17:39:04.765628 : gridy jdou videt
2022-05-03 17:39:05.268466 : gridy jdou videt
2022-05-03 17:39:05.774305 : gridy jdou videt
2022-05-03 17:39:06.241155 : gridy jdou videt
2022-05-03 17:39:06.607039 : gridy jdou videt
2022-05-03 17:39:07.140868 : gridy jdou videt
2022-05-03 17:39:07.590724 : gridy jdou videt
2022-05-03 17:39:07.985597 : gridy jdou videt
2022-05-03 17:39:08.295499 : gridy jdou videt
2022-05-03 17:39:08.657383 : gridy jdou videt
2022-05-03 17:39:09.033262 : gridy jdou videt
2022-05-03 17:39:09.489118 : gridy jdou videt
2022-05-03 17:39:09.823010 : gridy jdou videt
2022-05-03 17:39:10.110918 : gridy jdou videt
2022-05-03 17:39:10.545780 : gridy jdou videt
2022-05-03 17:39:11.127595 : gridy jdou videt
2022-05-03 17:39:13.640790 : content jdou videt
2022-05-03 17:39:14.153626 : content jdou videt
2022-05-03 17:39:14.575491 : content jdou videt
2022-05-03 17:39:14.898387 : content jdou videt
2022-05-03 17:39:15.229282 : content jdou videt
2022-05-03 17:39:15.687135 : content jdou videt
2022-05-03 17:39:15.995037 : content jdou videt
2022-05-03 17:39:16.284944 : content jdou videt
2022-05-03 17:39:16.610840 : content jdou videt
2022-05-03 17:39:17.067694 : content jdou videt
2022-05-03 17:39:17.418581 : content jdou videt
2022-05-03 17:39:17.883434 : content jdou videt
2022-05-03 17:39:18.230322 : content jdou videt
2022-05-03 17:39:18.575212 : content jdou videt
2022-05-03 17:39:18.957090 : content jdou videt
2022-05-03 17:39:19.488920 : content jdou videt
2022-05-03 17:39:19.824812 : content jdou videt
2022-05-03 17:39:20.305658 : content jdou videt
2022-05-03 17:39:20.715528 : content jdou videt
2022-05-03 17:39:21.074413 : content jdou videt
2022-05-03 17:39:21.414304 : content jdou videt
2022-05-03 17:39:21.720208 : content jdou videt
2022-05-03 17:39:22.077093 : content jdou videt
2022-05-03 17:39:22.484962 : content jdou videt
2022-05-03 17:39:22.898829 : content jdou videt
2022-05-03 17:39:23.290704 : content jdou videt
2022-05-03 17:39:23.717568 : content jdou videt
2022-05-03 17:39:24.433339 : content jdou videt
2022-05-03 17:39:24.850205 : content jdou videt
2022-05-03 17:39:25.333051 : content jdou videt
2022-05-03 17:39:25.734922 : content jdou videt
2022-05-03 17:39:26.175782 : content jdou videt
2022-05-03 17:39:26.637634 : content jdou videt
2022-05-03 17:39:27.260435 : content jdou videt
2022-05-03 17:39:27.861243 : content jdou videt
2022-05-03 17:39:28.318097 : content jdou videt
2022-05-03 17:39:28.937899 : content jdou videt
2022-05-03 17:39:29.288787 : content jdou videt
2022-05-03 17:39:29.566697 : content jdou videt
2022-05-03 17:39:29.996560 : content jdou videt
2022-05-03 17:39:30.447416 : content jdou videt
2022-05-03 17:39:30.810300 : content jdou videt
2022-05-03 17:39:31.115202 : content jdou videt
2022-05-03 17:39:31.770993 : content jdou videt
2022-05-03 17:39:32.153870 : content jdou videt
2022-05-03 17:39:32.577735 : content jdou videt
2022-05-03 17:39:33.037588 : content jdou videt
2022-05-03 17:39:33.403471 : content jdou videt
2022-05-03 17:39:33.710372 : content jdou videt
2022-05-03 17:39:34.171225 : content jdou videt
2022-05-03 17:39:34.594091 : content jdou videt
2022-05-03 17:40:18.106178 : <selenium.webdriver.remote.webelement.WebElement (session="fbbccede05e44759705a7f826464aeed493b6017", element="99266775-848d-4c2b-9a41-b65cb61b3b78")>
2022-05-03 17:40:20.271486 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="fbbccede05e44759705a7f826464aeed493b6017", element="aa1ffab5-1a0f-4771-81c5-5f8d5b0ce8ba")>>
2022-05-03 17:41:06.422703 : None
2022-05-03 17:41:06.422703 : consent pass
2022-05-03 17:41:48.097378 : <selenium.webdriver.remote.webelement.WebElement (session="c18308e3cf8c54a5f1a0542ad665dc22eae17b07", element="f290426f-ac9b-471b-9270-fe8ccce7156f")>
