2022-05-03 18:09:19.410828 : <selenium.webdriver.remote.webelement.WebElement (session="57b506fa97e1104efd06a350a00f243003d826e6", element="6333e364-3b80-4d90-a425-80dbbed624b1")>
2022-05-03 18:09:48.649011 : nenasle se exponea banner
2022-05-03 18:09:49.795626 : gridy jdou videt
2022-05-03 18:09:50.076536 : gridy jdou videt
2022-05-03 18:09:50.339452 : gridy jdou videt
2022-05-03 18:09:50.587372 : gridy jdou videt
2022-05-03 18:09:50.853288 : gridy jdou videt
2022-05-03 18:09:51.165348 : gridy jdou videt
2022-05-03 18:09:51.480803 : gridy jdou videt
2022-05-03 18:09:51.853568 : gridy jdou videt
2022-05-03 18:09:52.284306 : gridy jdou videt
2022-05-03 18:09:52.637194 : gridy jdou videt
2022-05-03 18:09:52.994798 : gridy jdou videt
2022-05-03 18:09:53.430747 : gridy jdou videt
2022-05-03 18:09:53.756861 : gridy jdou videt
2022-05-03 18:09:54.117745 : gridy jdou videt
2022-05-03 18:09:54.447639 : gridy jdou videt
2022-05-03 18:09:54.722357 : gridy jdou videt
2022-05-03 18:09:55.065248 : gridy jdou videt
2022-05-03 18:09:55.361152 : gridy jdou videt
2022-05-03 18:09:55.634803 : gridy jdou videt
2022-05-03 18:09:55.968530 : gridy jdou videt
2022-05-03 18:09:56.264434 : gridy jdou videt
2022-05-03 18:09:56.557341 : gridy jdou videt
2022-05-03 18:09:56.851247 : gridy jdou videt
2022-05-03 18:09:57.112164 : gridy jdou videt
2022-05-03 18:09:57.384078 : gridy jdou videt
2022-05-03 18:09:57.689978 : gridy jdou videt
2022-05-03 18:09:58.071295 : gridy jdou videt
2022-05-03 18:09:58.363736 : gridy jdou videt
2022-05-03 18:09:58.672003 : gridy jdou videt
2022-05-03 18:09:58.948931 : gridy jdou videt
2022-05-03 18:09:59.214828 : gridy jdou videt
2022-05-03 18:09:59.520459 : gridy jdou videt
2022-05-03 18:09:59.811367 : gridy jdou videt
2022-05-03 18:10:00.114955 : gridy jdou videt
2022-05-03 18:10:00.355879 : gridy jdou videt
2022-05-03 18:10:00.622553 : gridy jdou videt
2022-05-03 18:10:00.884559 : gridy jdou videt
2022-05-03 18:10:01.154473 : gridy jdou videt
2022-05-03 18:10:01.403394 : gridy jdou videt
2022-05-03 18:10:01.670308 : gridy jdou videt
2022-05-03 18:10:01.922895 : gridy jdou videt
2022-05-03 18:10:02.229420 : gridy jdou videt
2022-05-03 18:10:02.530324 : gridy jdou videt
2022-05-03 18:10:02.858220 : gridy jdou videt
2022-05-03 18:10:03.110139 : gridy jdou videt
2022-05-03 18:10:03.352834 : gridy jdou videt
2022-05-03 18:10:03.626729 : gridy jdou videt
2022-05-03 18:10:03.907413 : gridy jdou videt
2022-05-03 18:10:04.173328 : gridy jdou videt
2022-05-03 18:10:04.567391 : gridy jdou videt
2022-05-03 18:10:04.832307 : gridy jdou videt
2022-05-03 18:10:05.757813 : content jdou videt
2022-05-03 18:10:06.031726 : content jdou videt
2022-05-03 18:10:06.338627 : content jdou videt
2022-05-03 18:10:06.606542 : content jdou videt
2022-05-03 18:10:06.871458 : content jdou videt
2022-05-03 18:10:07.127375 : content jdou videt
2022-05-03 18:10:07.390292 : content jdou videt
2022-05-03 18:10:07.643210 : content jdou videt
2022-05-03 18:10:07.958111 : content jdou videt
2022-05-03 18:10:08.237021 : content jdou videt
2022-05-03 18:10:08.502936 : content jdou videt
2022-05-03 18:10:08.816768 : content jdou videt
2022-05-03 18:10:09.098678 : content jdou videt
2022-05-03 18:10:09.350597 : content jdou videt
2022-05-03 18:10:09.632507 : content jdou videt
2022-05-03 18:10:10.054372 : content jdou videt
2022-05-03 18:10:10.328285 : content jdou videt
2022-05-03 18:10:10.605196 : content jdou videt
2022-05-03 18:10:10.884108 : content jdou videt
2022-05-03 18:10:11.218001 : content jdou videt
2022-05-03 18:10:11.485915 : content jdou videt
2022-05-03 18:10:11.788819 : content jdou videt
2022-05-03 18:10:12.049735 : content jdou videt
2022-05-03 18:10:12.332644 : content jdou videt
2022-05-03 18:10:12.590562 : content jdou videt
2022-05-03 18:10:12.856476 : content jdou videt
2022-05-03 18:10:13.128390 : content jdou videt
2022-05-03 18:10:13.435291 : content jdou videt
2022-05-03 18:10:13.743193 : content jdou videt
2022-05-03 18:10:13.989114 : content jdou videt
2022-05-03 18:10:14.308013 : content jdou videt
2022-05-03 18:10:14.574927 : content jdou videt
2022-05-03 18:10:14.850341 : content jdou videt
2022-05-03 18:10:15.107260 : content jdou videt
2022-05-03 18:10:15.382172 : content jdou videt
2022-05-03 18:10:15.662082 : content jdou videt
2022-05-03 18:10:16.013193 : content jdou videt
2022-05-03 18:10:16.352085 : content jdou videt
2022-05-03 18:10:16.635994 : content jdou videt
2022-05-03 18:10:16.885953 : content jdou videt
2022-05-03 18:10:17.136873 : content jdou videt
2022-05-03 18:10:17.572733 : content jdou videt
2022-05-03 18:10:17.925620 : content jdou videt
2022-05-03 18:10:18.283505 : content jdou videt
2022-05-03 18:10:18.553657 : content jdou videt
2022-05-03 18:10:18.854091 : content jdou videt
2022-05-03 18:10:20.185713 : content jdou videt
2022-05-03 18:10:20.503611 : content jdou videt
2022-05-03 18:10:20.759529 : content jdou videt
2022-05-03 18:10:21.126412 : content jdou videt
2022-05-03 18:10:21.453307 : content jdou videt
2022-05-03 18:11:08.029800 : <selenium.webdriver.remote.webelement.WebElement (session="601211cb57b7d74b9ae246810f44a62bc668f3f8", element="0190c386-43e4-4d29-a0ea-a00df098ef4f")>
2022-05-03 18:11:10.721978 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="601211cb57b7d74b9ae246810f44a62bc668f3f8", element="2f5905a0-78d2-4f52-8937-ceb383ea53e7")>>
2022-05-03 18:12:00.078252 : <selenium.webdriver.remote.webelement.WebElement (session="b8e6bec4c97aa63126111c7141511f93258c7688", element="c5b6d092-69e3-4345-8650-e8e5fa915d72")>
2022-05-03 18:12:30.315585 : nenasle se exponea banner
2022-05-03 18:12:33.879850 : its ok
