2022-05-03 18:22:12.642654 : <selenium.webdriver.remote.webelement.WebElement (session="42f6446b6d518e2b7f4444949c18b99432e0b861", element="b286e387-2a4c-409e-8d94-25d9a7cb4a6f")>
2022-05-03 18:22:42.874582 : nenasle se exponea banner
2022-05-03 18:22:44.494065 : gridy jdou videt
2022-05-03 18:22:44.816117 : gridy jdou videt
2022-05-03 18:22:45.432920 : gridy jdou videt
2022-05-03 18:22:45.858785 : gridy jdou videt
2022-05-03 18:22:46.348628 : gridy jdou videt
2022-05-03 18:22:46.704513 : gridy jdou videt
2022-05-03 18:22:47.159475 : gridy jdou videt
2022-05-03 18:22:47.559348 : gridy jdou videt
2022-05-03 18:22:47.983212 : gridy jdou videt
2022-05-03 18:22:48.365090 : gridy jdou videt
2022-05-03 18:22:48.696984 : gridy jdou videt
2022-05-03 18:22:49.004900 : gridy jdou videt
2022-05-03 18:22:49.358772 : gridy jdou videt
2022-05-03 18:22:49.707661 : gridy jdou videt
2022-05-03 18:22:50.140523 : gridy jdou videt
2022-05-03 18:22:50.540395 : gridy jdou videt
2022-05-03 18:22:50.879286 : gridy jdou videt
2022-05-03 18:22:51.244170 : gridy jdou videt
2022-05-03 18:22:51.632045 : gridy jdou videt
2022-05-03 18:22:51.937948 : gridy jdou videt
2022-05-03 18:22:52.242850 : gridy jdou videt
2022-05-03 18:22:52.698704 : gridy jdou videt
2022-05-03 18:22:53.027599 : gridy jdou videt
2022-05-03 18:22:53.431469 : gridy jdou videt
2022-05-03 18:22:53.724377 : gridy jdou videt
2022-05-03 18:22:53.969298 : gridy jdou videt
2022-05-03 18:22:54.274201 : gridy jdou videt
2022-05-03 18:22:54.537117 : gridy jdou videt
2022-05-03 18:22:54.776040 : gridy jdou videt
2022-05-03 18:22:55.034591 : gridy jdou videt
2022-05-03 18:22:55.291488 : gridy jdou videt
2022-05-03 18:22:55.551406 : gridy jdou videt
2022-05-03 18:22:55.863306 : gridy jdou videt
2022-05-03 18:22:56.195200 : gridy jdou videt
2022-05-03 18:22:56.445120 : gridy jdou videt
2022-05-03 18:22:56.712035 : gridy jdou videt
2022-05-03 18:22:57.008940 : gridy jdou videt
2022-05-03 18:22:57.340833 : gridy jdou videt
2022-05-03 18:22:57.672727 : gridy jdou videt
2022-05-03 18:22:57.958289 : gridy jdou videt
2022-05-03 18:22:58.249197 : gridy jdou videt
2022-05-03 18:22:58.526108 : gridy jdou videt
2022-05-03 18:22:58.812017 : gridy jdou videt
2022-05-03 18:22:59.082930 : gridy jdou videt
2022-05-03 18:22:59.450812 : gridy jdou videt
2022-05-03 18:22:59.764713 : gridy jdou videt
2022-05-03 18:23:00.018631 : gridy jdou videt
2022-05-03 18:23:00.353524 : gridy jdou videt
2022-05-03 18:23:00.632434 : gridy jdou videt
2022-05-03 18:23:01.941052 : gridy jdou videt
2022-05-03 18:23:02.234958 : gridy jdou videt
2022-05-03 18:23:03.264630 : content jdou videt
2022-05-03 18:23:03.522547 : content jdou videt
2022-05-03 18:23:03.775466 : content jdou videt
2022-05-03 18:23:04.021663 : content jdou videt
2022-05-03 18:23:04.251525 : content jdou videt
2022-05-03 18:23:04.622301 : content jdou videt
2022-05-03 18:23:04.860226 : content jdou videt
2022-05-03 18:23:05.114144 : content jdou videt
2022-05-03 18:23:05.387057 : content jdou videt
2022-05-03 18:23:05.707954 : content jdou videt
2022-05-03 18:23:05.975869 : content jdou videt
