2022-05-03 18:25:09.567591 : <selenium.webdriver.remote.webelement.WebElement (session="38e61c4098f4fb648520054fe61afe796c96aa6d", element="5d837335-ad19-4b9e-972c-70d2a3f57801")>
2022-05-03 18:25:38.881600 : nenasle se exponea banner
2022-05-03 18:25:40.037231 : gridy jdou videt
2022-05-03 18:25:40.346131 : gridy jdou videt
2022-05-03 18:25:40.620044 : gridy jdou videt
2022-05-03 18:25:40.897130 : gridy jdou videt
2022-05-03 18:25:41.254572 : gridy jdou videt
2022-05-03 18:25:41.760411 : gridy jdou videt
2022-05-03 18:25:42.323230 : gridy jdou videt
2022-05-03 18:25:42.594144 : gridy jdou videt
2022-05-03 18:25:42.898845 : gridy jdou videt
2022-05-03 18:25:43.259730 : gridy jdou videt
2022-05-03 18:25:43.586625 : gridy jdou videt
2022-05-03 18:25:44.048477 : gridy jdou videt
2022-05-03 18:25:44.441352 : gridy jdou videt
2022-05-03 18:25:44.750253 : gridy jdou videt
2022-05-03 18:25:45.112138 : gridy jdou videt
2022-05-03 18:25:45.451029 : gridy jdou videt
2022-05-03 18:25:45.984867 : gridy jdou videt
2022-05-03 18:25:46.315496 : gridy jdou videt
2022-05-03 18:25:46.672382 : gridy jdou videt
2022-05-03 18:25:47.026268 : gridy jdou videt
2022-05-03 18:25:47.415144 : gridy jdou videt
2022-05-03 18:25:47.696054 : gridy jdou videt
2022-05-03 18:25:47.991505 : gridy jdou videt
2022-05-03 18:25:48.258420 : gridy jdou videt
2022-05-03 18:25:48.599845 : gridy jdou videt
2022-05-03 18:25:49.110395 : gridy jdou videt
2022-05-03 18:25:49.633581 : gridy jdou videt
2022-05-03 18:25:49.994466 : gridy jdou videt
2022-05-03 18:25:50.392558 : gridy jdou videt
2022-05-03 18:25:50.882555 : gridy jdou videt
2022-05-03 18:25:51.419432 : gridy jdou videt
2022-05-03 18:25:51.818592 : gridy jdou videt
2022-05-03 18:25:52.153486 : gridy jdou videt
2022-05-03 18:25:52.593344 : gridy jdou videt
2022-05-03 18:25:52.980148 : gridy jdou videt
2022-05-03 18:25:53.490985 : gridy jdou videt
2022-05-03 18:25:53.831876 : gridy jdou videt
2022-05-03 18:25:54.327717 : gridy jdou videt
2022-05-03 18:25:54.736587 : gridy jdou videt
2022-05-03 18:25:55.081477 : gridy jdou videt
2022-05-03 18:25:55.475351 : gridy jdou videt
2022-05-03 18:25:55.759096 : gridy jdou videt
2022-05-03 18:25:56.086098 : gridy jdou videt
2022-05-03 18:25:56.399967 : gridy jdou videt
2022-05-03 18:25:56.714867 : gridy jdou videt
2022-05-03 18:25:56.986781 : gridy jdou videt
2022-05-03 18:25:57.242698 : gridy jdou videt
2022-05-03 18:25:58.796160 : gridy jdou videt
2022-05-03 18:25:59.077070 : gridy jdou videt
2022-05-03 18:25:59.355981 : gridy jdou videt
2022-05-03 18:25:59.688212 : gridy jdou videt
2022-05-03 18:26:00.918819 : content jdou videt
2022-05-03 18:26:02.237101 : content jdou videt
2022-05-03 18:26:02.606201 : content jdou videt
2022-05-03 18:26:02.940094 : content jdou videt
2022-05-03 18:26:03.290982 : content jdou videt
2022-05-03 18:26:03.922719 : content jdou videt
2022-05-03 18:26:04.243192 : content jdou videt
2022-05-03 18:26:04.487115 : content jdou videt
2022-05-03 18:26:04.776022 : content jdou videt
2022-05-03 18:26:05.150902 : content jdou videt
2022-05-03 18:26:05.477651 : content jdou videt
2022-05-03 18:26:05.735528 : content jdou videt
2022-05-03 18:26:05.997853 : content jdou videt
2022-05-03 18:26:06.264623 : content jdou videt
2022-05-03 18:26:06.660001 : content jdou videt
2022-05-03 18:26:07.023995 : content jdou videt
2022-05-03 18:26:07.375881 : content jdou videt
2022-05-03 18:26:07.869755 : content jdou videt
2022-05-03 18:26:08.377593 : content jdou videt
2022-05-03 18:26:08.756471 : content jdou videt
2022-05-03 18:26:09.020387 : content jdou videt
2022-05-03 18:26:09.294205 : content jdou videt
2022-05-03 18:26:09.549774 : content jdou videt
2022-05-03 18:26:09.836693 : content jdou videt
2022-05-03 18:26:10.109518 : content jdou videt
2022-05-03 18:26:10.393991 : content jdou videt
2022-05-03 18:26:10.646911 : content jdou videt
2022-05-03 18:26:10.913843 : content jdou videt
2022-05-03 18:26:11.291704 : content jdou videt
2022-05-03 18:26:11.590610 : content jdou videt
2022-05-03 18:26:11.855541 : content jdou videt
2022-05-03 18:26:12.251030 : content jdou videt
2022-05-03 18:26:12.532940 : content jdou videt
2022-05-03 18:26:12.793856 : content jdou videt
2022-05-03 18:26:13.120752 : content jdou videt
2022-05-03 18:26:13.427654 : content jdou videt
2022-05-03 18:26:13.839522 : content jdou videt
2022-05-03 18:26:14.149424 : content jdou videt
2022-05-03 18:26:14.526302 : content jdou videt
2022-05-03 18:26:14.797216 : content jdou videt
2022-05-03 18:26:15.137107 : content jdou videt
2022-05-03 18:26:15.512987 : content jdou videt
2022-05-03 18:26:15.850880 : content jdou videt
2022-05-03 18:26:16.219761 : content jdou videt
2022-05-03 18:26:16.583645 : content jdou videt
2022-05-03 18:26:16.915540 : content jdou videt
2022-05-03 18:26:17.381235 : content jdou videt
2022-05-03 18:26:17.916470 : content jdou videt
2022-05-03 18:26:18.357437 : content jdou videt
2022-05-03 18:26:18.740329 : content jdou videt
2022-05-03 18:26:19.033053 : content jdou videt
2022-05-03 18:26:58.901291 : <selenium.webdriver.remote.webelement.WebElement (session="9daee20d08cef3b4922ea8c17fd7672c118d9503", element="557a20d2-05b4-48d8-a44b-da2c94f21d7f")>
2022-05-03 18:27:01.356230 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="9daee20d08cef3b4922ea8c17fd7672c118d9503", element="85ee8083-aae1-4013-ad56-c04f9a00d978")>>
2022-05-03 18:27:50.111523 : <selenium.webdriver.remote.webelement.WebElement (session="cb0dd16dba294b9a49c0171e2728dcfe4ef8a362", element="b5253e60-003f-4558-8968-50331c42aeb1")>
