2022-05-03 18:40:31.440239 : <selenium.webdriver.remote.webelement.WebElement (session="49c61e356b1358be14df213003948a72fc19cd3f", element="2e7c0ce9-dbce-4654-bf81-c9d268696937")>
2022-05-03 18:41:00.688543 : nenasle se exponea banner
2022-05-03 18:41:01.919065 : gridy jdou videt
2022-05-03 18:41:02.223967 : gridy jdou videt
2022-05-03 18:41:03.754075 : gridy jdou videt
2022-05-03 18:41:04.121958 : gridy jdou videt
2022-05-03 18:41:04.457380 : gridy jdou videt
2022-05-03 18:41:04.894240 : gridy jdou videt
2022-05-03 18:41:05.152157 : gridy jdou videt
2022-05-03 18:41:05.487905 : gridy jdou videt
2022-05-03 18:41:05.831257 : gridy jdou videt
2022-05-03 18:41:06.170149 : gridy jdou videt
2022-05-03 18:41:06.748964 : gridy jdou videt
2022-05-03 18:41:07.046376 : gridy jdou videt
2022-05-03 18:41:07.435252 : gridy jdou videt
2022-05-03 18:41:07.760407 : gridy jdou videt
2022-05-03 18:41:08.060310 : gridy jdou videt
2022-05-03 18:41:08.380207 : gridy jdou videt
2022-05-03 18:41:08.722128 : gridy jdou videt
2022-05-03 18:41:09.038027 : gridy jdou videt
2022-05-03 18:41:09.352115 : gridy jdou videt
2022-05-03 18:41:09.670177 : gridy jdou videt
2022-05-03 18:41:09.947089 : gridy jdou videt
2022-05-03 18:41:10.204494 : gridy jdou videt
2022-05-03 18:41:10.499399 : gridy jdou videt
2022-05-03 18:41:10.808300 : gridy jdou videt
2022-05-03 18:41:11.101207 : gridy jdou videt
2022-05-03 18:41:11.396112 : gridy jdou videt
2022-05-03 18:41:11.838143 : gridy jdou videt
2022-05-03 18:41:12.142044 : gridy jdou videt
2022-05-03 18:41:12.584907 : gridy jdou videt
2022-05-03 18:41:12.996687 : gridy jdou videt
2022-05-03 18:41:13.283596 : gridy jdou videt
