2022-05-04 16:25:27.574420 : <selenium.webdriver.remote.webelement.WebElement (session="e999733da6a96b1601867096d5c8431ee4cd414d", element="0.1949239913380123-1")>
2022-05-04 16:26:00.191581 : nenasle se exponea banner
2022-05-04 16:26:02.526351 : gridy jdou videt
2022-05-04 16:26:02.854361 : gridy jdou videt
2022-05-04 16:26:03.215385 : gridy jdou videt
2022-05-04 16:26:03.655394 : gridy jdou videt
2022-05-04 16:26:04.387408 : gridy jdou videt
2022-05-04 16:26:05.509385 : gridy jdou videt
2022-05-04 16:26:06.289468 : gridy jdou videt
2022-05-04 16:26:06.937429 : gridy jdou videt
2022-05-04 16:26:07.498427 : gridy jdou videt
2022-05-04 16:26:07.775444 : gridy jdou videt
2022-05-04 16:26:08.012429 : gridy jdou videt
2022-05-04 16:26:08.356413 : gridy jdou videt
2022-05-04 16:26:08.587427 : gridy jdou videt
2022-05-04 16:26:08.801441 : gridy jdou videt
2022-05-04 16:26:09.069422 : gridy jdou videt
2022-05-04 16:26:09.341433 : gridy jdou videt
2022-05-04 16:26:09.831407 : gridy jdou videt
2022-05-04 16:26:10.665371 : gridy jdou videt
2022-05-04 16:26:11.045371 : gridy jdou videt
2022-05-04 16:26:11.715371 : gridy jdou videt
2022-05-04 16:26:12.295388 : gridy jdou videt
2022-05-04 16:26:12.498385 : gridy jdou videt
2022-05-04 16:26:12.855402 : gridy jdou videt
2022-05-04 16:26:13.249429 : gridy jdou videt
2022-05-04 16:26:13.675473 : gridy jdou videt
2022-05-04 16:26:14.179428 : gridy jdou videt
2022-05-04 16:26:14.651433 : gridy jdou videt
2022-05-04 16:26:15.566438 : gridy jdou videt
2022-05-04 16:26:16.816458 : gridy jdou videt
2022-05-04 16:26:17.238407 : gridy jdou videt
2022-05-04 16:26:17.453447 : gridy jdou videt
2022-05-04 16:26:18.168403 : gridy jdou videt
2022-05-04 16:26:18.623448 : gridy jdou videt
2022-05-04 16:26:19.069426 : gridy jdou videt
2022-05-04 16:26:19.465415 : gridy jdou videt
2022-05-04 16:26:20.026436 : gridy jdou videt
2022-05-04 16:26:20.420415 : gridy jdou videt
2022-05-04 16:26:20.767418 : gridy jdou videt
2022-05-04 16:26:21.364412 : gridy jdou videt
2022-05-04 16:26:22.558418 : gridy jdou videt
2022-05-04 16:26:23.435428 : gridy jdou videt
2022-05-04 16:26:24.113402 : gridy jdou videt
2022-05-04 16:26:24.558389 : gridy jdou videt
2022-05-04 16:26:24.785421 : gridy jdou videt
2022-05-04 16:26:25.047392 : gridy jdou videt
2022-05-04 16:26:25.358379 : gridy jdou videt
2022-05-04 16:26:25.686395 : gridy jdou videt
2022-05-04 16:26:25.976417 : gridy jdou videt
2022-05-04 16:26:26.363440 : gridy jdou videt
2022-05-04 16:26:27.162430 : gridy jdou videt
2022-05-04 16:26:27.750424 : gridy jdou videt
2022-05-04 16:26:29.927396 : content jdou videt
2022-05-04 16:26:30.203399 : content jdou videt
2022-05-04 16:26:30.454363 : content jdou videt
2022-05-04 16:26:30.714377 : content jdou videt
2022-05-04 16:26:30.993431 : content jdou videt
2022-05-04 16:26:31.452390 : content jdou videt
2022-05-04 16:26:31.766418 : content jdou videt
2022-05-04 16:26:32.484456 : content jdou videt
2022-05-04 16:26:32.997553 : content jdou videt
2022-05-04 16:26:33.738456 : content jdou videt
2022-05-04 16:26:34.467425 : content jdou videt
2022-05-04 16:26:35.079437 : content jdou videt
2022-05-04 16:26:35.468429 : content jdou videt
2022-05-04 16:26:35.730431 : content jdou videt
2022-05-04 16:26:35.953423 : content jdou videt
2022-05-04 16:26:36.295478 : content jdou videt
2022-05-04 16:26:36.661442 : content jdou videt
2022-05-04 16:26:37.150419 : content jdou videt
2022-05-04 16:26:37.530866 : content jdou videt
2022-05-04 16:26:38.439620 : content jdou videt
2022-05-04 16:26:39.357540 : content jdou videt
2022-05-04 16:26:40.092440 : content jdou videt
2022-05-04 16:26:40.843413 : content jdou videt
2022-05-04 16:26:41.075413 : content jdou videt
2022-05-04 16:26:41.387392 : content jdou videt
2022-05-04 16:26:41.629352 : content jdou videt
2022-05-04 16:26:41.844324 : content jdou videt
2022-05-04 16:26:42.228305 : content jdou videt
2022-05-04 16:26:42.628345 : content jdou videt
2022-05-04 16:26:43.118481 : content jdou videt
2022-05-04 16:26:44.162726 : content jdou videt
2022-05-04 16:26:44.979465 : content jdou videt
2022-05-04 16:26:45.695238 : content jdou videt
2022-05-04 16:26:46.420376 : content jdou videt
2022-05-04 16:26:46.672295 : content jdou videt
2022-05-04 16:26:46.949494 : content jdou videt
2022-05-04 16:26:47.243400 : content jdou videt
2022-05-04 16:26:47.622296 : content jdou videt
2022-05-04 16:26:47.933201 : content jdou videt
2022-05-04 16:26:48.265233 : content jdou videt
2022-05-04 16:26:49.178627 : content jdou videt
2022-05-04 16:26:49.931388 : content jdou videt
2022-05-04 16:26:50.599173 : content jdou videt
2022-05-04 16:26:51.006906 : content jdou videt
2022-05-04 16:26:51.386783 : content jdou videt
2022-05-04 16:26:52.044573 : content jdou videt
2022-05-04 16:26:52.297579 : content jdou videt
2022-05-04 16:26:52.586608 : content jdou videt
2022-05-04 16:26:52.928607 : content jdou videt
2022-05-04 16:26:53.239591 : content jdou videt
2022-05-04 16:26:53.692537 : content jdou videt
