2022-05-04 21:02:13.753101 : <selenium.webdriver.remote.webelement.WebElement (session="f10e2189264bf697ae64f97b6be81a4a1e8fc3fe", element="0.5839964392176231-1")>
2022-05-04 21:02:42.747832 : nenasle se exponea banner
2022-05-04 21:02:43.836483 : gridy jdou videt
2022-05-04 21:02:43.995432 : gridy jdou videt
2022-05-04 21:02:44.161379 : gridy jdou videt
2022-05-04 21:02:44.351319 : gridy jdou videt
2022-05-04 21:02:44.547256 : gridy jdou videt
2022-05-04 21:02:44.757215 : gridy jdou videt
2022-05-04 21:02:44.946178 : gridy jdou videt
2022-05-04 21:02:45.114170 : gridy jdou videt
2022-05-04 21:02:45.298113 : gridy jdou videt
2022-05-04 21:02:45.515042 : gridy jdou videt
2022-05-04 21:02:45.724974 : gridy jdou videt
2022-05-04 21:02:45.923911 : gridy jdou videt
2022-05-04 21:02:46.187618 : gridy jdou videt
2022-05-04 21:02:46.366562 : gridy jdou videt
2022-05-04 21:02:46.558500 : gridy jdou videt
2022-05-04 21:02:46.725446 : gridy jdou videt
2022-05-04 21:02:46.947375 : gridy jdou videt
2022-05-04 21:02:47.123969 : gridy jdou videt
2022-05-04 21:02:47.399878 : gridy jdou videt
2022-05-04 21:02:47.596816 : gridy jdou videt
2022-05-04 21:02:47.802751 : gridy jdou videt
2022-05-04 21:02:48.005656 : gridy jdou videt
2022-05-04 21:02:48.173888 : gridy jdou videt
2022-05-04 21:02:48.998784 : content jdou videt
2022-05-04 21:02:49.183907 : content jdou videt
2022-05-04 21:02:49.427829 : content jdou videt
2022-05-04 21:02:49.666754 : content jdou videt
2022-05-04 21:02:49.832700 : content jdou videt
2022-05-04 21:02:50.060647 : content jdou videt
2022-05-04 21:02:50.273576 : content jdou videt
2022-05-04 21:02:50.496505 : content jdou videt
2022-05-04 21:02:50.708437 : content jdou videt
2022-05-04 21:02:50.880382 : content jdou videt
2022-05-04 21:02:51.055327 : content jdou videt
2022-05-04 21:02:51.264260 : content jdou videt
2022-05-04 21:02:51.436205 : content jdou videt
2022-05-04 21:02:51.624146 : content jdou videt
2022-05-04 21:02:51.815084 : content jdou videt
2022-05-04 21:02:51.986029 : content jdou videt
2022-05-04 21:02:52.158974 : content jdou videt
2022-05-04 21:02:52.395900 : content jdou videt
2022-05-04 21:02:52.587837 : content jdou videt
2022-05-04 21:02:52.775777 : content jdou videt
2022-05-04 21:02:52.980711 : content jdou videt
2022-05-04 21:02:53.201640 : content jdou videt
2022-05-04 21:02:53.384582 : content jdou videt
2022-05-04 21:03:23.559700 : <selenium.webdriver.remote.webelement.WebElement (session="00bb2a3db4205ede076191620e6e7acdac9b0bb9", element="0.2063475845495688-1")>
2022-05-04 21:03:24.844573 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="00bb2a3db4205ede076191620e6e7acdac9b0bb9", element="0.2063475845495688-2")>>
