2022-05-04 21:29:02.856797 : <selenium.webdriver.remote.webelement.WebElement (session="4a2c9b7349dfe9ae0dbadfbe7287630029fab414", element="node-C1336220-069C-4751-8455-4EE8003E01D8")>
2022-05-04 21:29:31.340697 : nenasle se exponea banner
2022-05-04 21:29:32.390362 : gridy jdou videt
2022-05-04 21:29:32.722255 : gridy jdou videt
2022-05-04 21:29:33.018160 : gridy jdou videt
2022-05-04 21:29:33.343057 : gridy jdou videt
2022-05-04 21:29:33.605973 : gridy jdou videt
2022-05-04 21:29:33.852894 : gridy jdou videt
2022-05-04 21:29:34.158797 : gridy jdou videt
2022-05-04 21:29:34.405718 : gridy jdou videt
2022-05-04 21:29:34.723616 : gridy jdou videt
2022-05-04 21:29:35.027519 : gridy jdou videt
2022-05-04 21:29:35.344419 : gridy jdou videt
2022-05-04 21:29:35.712301 : gridy jdou videt
2022-05-04 21:29:36.237132 : gridy jdou videt
2022-05-04 21:29:36.533039 : gridy jdou videt
2022-05-04 21:29:36.929912 : gridy jdou videt
2022-05-04 21:29:37.233814 : gridy jdou videt
2022-05-04 21:29:37.496730 : gridy jdou videt
2022-05-04 21:29:37.753649 : gridy jdou videt
2022-05-04 21:29:38.025561 : gridy jdou videt
2022-05-04 21:29:38.297474 : gridy jdou videt
2022-05-04 21:29:38.559390 : gridy jdou videt
2022-05-04 21:29:38.827305 : gridy jdou videt
2022-05-04 21:29:39.133207 : gridy jdou videt
2022-05-04 21:29:40.130889 : content jdou videt
2022-05-04 21:29:40.420796 : content jdou videt
2022-05-04 21:29:40.722699 : content jdou videt
2022-05-04 21:29:41.026602 : content jdou videt
2022-05-04 21:29:41.440470 : content jdou videt
2022-05-04 21:29:41.761367 : content jdou videt
2022-05-04 21:29:42.141246 : content jdou videt
2022-05-04 21:29:42.532121 : content jdou videt
2022-05-04 21:29:42.801035 : content jdou videt
2022-05-04 21:29:43.056954 : content jdou videt
2022-05-04 21:29:43.338863 : content jdou videt
2022-05-04 21:29:43.645765 : content jdou videt
2022-05-04 21:29:43.934673 : content jdou videt
2022-05-04 21:29:44.207585 : content jdou videt
2022-05-04 21:29:44.551477 : content jdou videt
2022-05-04 21:29:44.810393 : content jdou videt
2022-05-04 21:29:45.074309 : content jdou videt
2022-05-04 21:29:45.343223 : content jdou videt
2022-05-04 21:29:45.632130 : content jdou videt
2022-05-04 21:29:45.945031 : content jdou videt
2022-05-04 21:29:46.277924 : content jdou videt
2022-05-04 21:29:46.610818 : content jdou videt
2022-05-04 21:29:46.867736 : content jdou videt
2022-05-04 21:31:18.538549 : <selenium.webdriver.remote.webelement.WebElement (session="f572771ef6fb3947d3c7d35419c916068af4da3d", element="node-D570B899-B176-47AF-B371-BCACF28226B1")>
2022-05-04 21:31:19.980089 : <bound method WebElement.is_displayed of <selenium.webdriver.remote.webelement.WebElement (session="f572771ef6fb3947d3c7d35419c916068af4da3d", element="node-5F46C6CC-AADA-4DE6-9E5A-536E6AEC37D4")>>
